Year,Split,G,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
2015,Offense,13,19.8,31.9,62.2,237.7,1.6,37.8,158.2,4.2,2.1,69.7,395.9,5.7,11.5,7.4,1.5,20.4,6.7,59.8,0.5,0.8,1.2
2015,Defense,13,13.9,29.3,47.5,158.3,0.6,33.6,122.4,3.6,0.9,62.9,280.7,4.5,7.3,7,2.4,16.7,5.7,51.4,0.2,0.8,0.9
2015,Difference,,5.9,2.6,14.7,79.4,1,4.2,35.8,0.6,1.2,6.8,115.2,1.2,4.2,0.4,-0.9,3.7,1,8.4,0.3,0,0.3
2016,Offense,13,17.5,28.5,61.6,212,1.5,43.9,213.3,4.9,3.2,72.4,425.3,5.9,9.2,11,1.5,21.8,4.8,45.6,0.4,0.5,0.9
2016,Defense,13,11,25.2,43.6,142.5,0.8,37,119.2,3.2,0.7,62.2,261.8,4.2,5.5,7,1.8,14.3,5.4,41.8,0.5,1,1.5
2016,Difference,,6.5,3.3,18,69.5,0.7,6.9,94.1,1.7,2.5,10.2,163.5,1.7,3.7,4,-0.3,7.5,-0.6,3.8,-0.1,-0.5,-0.6
2017,Offense,13,14.2,26.6,53.5,171.2,0.7,40.7,177.7,4.4,2,67.3,348.9,5.2,7.4,8.8,1.2,17.5,6.6,57.2,0.8,0.8,1.6
2017,Defense,13,12.3,25.2,48.8,150.1,0.8,34.7,120.9,3.5,1.2,59.9,271,4.5,5.8,6.1,1.9,13.8,5.5,46.1,0.5,0.8,1.3
2017,Difference,,1.9,1.4,4.7,21.1,-0.1,6,56.8,0.9,0.8,7.4,77.9,0.7,1.6,2.7,-0.7,3.7,1.1,11.1,0.3,0,0.3
2018,Offense,13,17.2,26.8,64.1,215.7,1.8,42.2,203.8,4.8,2,69,419.5,6.1,9.5,10.5,1.6,21.5,6.8,63.5,0.2,0.7,0.9
2018,Defense,13,12.5,25.4,49.4,141.8,1,34.6,133.5,3.9,1.2,60,275.2,4.6,6.2,6.9,2.7,15.8,5.8,56,0.5,0.8,1.3
2018,Difference,,4.7,1.4,14.7,73.9,0.8,7.6,70.3,0.9,0.8,9,144.3,1.5,3.3,3.6,-1.1,5.7,1,7.5,-0.3,-0.1,-0.4
2019,Offense,13,17.5,31.5,55.6,250.8,1.9,37.8,151.2,4,2,69.3,402.1,5.8,11.1,8.3,2.8,22,6.2,49.9,0.8,0.7,1.5
2019,Defense,13,15.2,26.5,57.4,185.5,1.2,38.2,122.7,3.2,1.5,64.7,308.2,4.8,7.9,7.3,2.2,17.4,7.4,65.4,0.8,0.7,1.5
2019,Difference,,2.3,5,-1.8,65.3,0.7,-0.4,28.5,0.8,0.5,4.6,93.9,1,3.2,1,0.6,4.6,-1.2,-15.5,0,0,0
